Xs,Vs,As,Xe,Ve,Ae,a,t
0.0,1.0,0.0,1.0,0.0,0.0,-0.5,2.0
0.0,1.0,0.0,5.0,0.0,0.0,-0.1,10.0
0.0,1.0,0.0,10.0,0.0,0.0,-0.05,20.0
0.0,1.0,0.0,20.0,0.0,0.0,-0.025,40.0
0.0,1.0,0.0,30.0,0.0,0.0,-0.016666666666666666,60.0
0.0,5.0,0.0,5.0,0.0,0.0,-2.5,2.0
0.0,5.0,0.0,10.0,0.0,0.0,-1.25,4.0
0.0,5.0,0.0,20.0,0.0,0.0,-0.625,8.0
0.0,5.0,0.0,30.0,0.0,0.0,-0.4166666666666667,12.0
0.0,5.0,0.0,50.0,0.0,0.0,-0.25,20.0
0.0,5.0,0.0,100.0,0.0,0.0,-0.125,40.0
0.0,10.0,0.0,10.0,0.0,0.0,-5.0,2.0
0.0,10.0,0.0,20.0,0.0,0.0,-2.5,4.0
0.0,10.0,0.0,30.0,0.0,0.0,-1.6666666666666667,6.0
0.0,10.0,0.0,50.0,0.0,0.0,-1.0,10.0
0.0,10.0,0.0,100.0,0.0,0.0,-0.5,20.0
0.0,7.0,0.0,5.0,0.0,0.0,-4.8999999999999995,1.4285714285714286
0.0,7.0,0.0,10.0,0.0,0.0,-2.4499999999999997,2.857142857142857
0.0,7.0,0.0,20.0,0.0,0.0,-1.2249999999999999,5.714285714285714
0.0,7.0,0.0,30.0,0.0,0.0,-0.8166666666666667,8.571428571428571
0.0,7.0,0.0,50.0,0.0,0.0,-0.49,14.285714285714286
0.0,7.0,0.0,100.0,0.0,0.0,-0.245,28.571428571428573
0.0,6.0,0.0,5.0,0.0,0.0,-3.5999999999999996,1.6666666666666667
0.0,6.0,0.0,10.0,0.0,0.0,-1.7999999999999998,3.3333333333333335
0.0,6.0,0.0,20.0,0.0,0.0,-0.8999999999999999,6.666666666666667
0.0,6.0,0.0,30.0,0.0,0.0,-0.6,10.0
0.0,6.0,0.0,50.0,0.0,0.0,-0.36,16.666666666666668
0.0,6.0,0.0,100.0,0.0,0.0,-0.18,33.333333333333336
0.0,15.0,0.0,20.0,0.0,0.0,-5.625,2.6666666666666665
0.0,15.0,0.0,30.0,0.0,0.0,-3.75,4.0
0.0,15.0,0.0,50.0,0.0,0.0,-2.25,6.666666666666667
0.0,15.0,0.0,100.0,0.0,0.0,-1.125,13.333333333333334
0.0,20.0,0.0,30.0,0.0,0.0,-6.666666666666667,3.0
0.0,20.0,0.0,50.0,0.0,0.0,-4.0,5.0
0.0,20.0,0.0,100.0,0.0,0.0,-2.0,10.0
